Desc,Port,Protocol
http-mgmt,280,tcp
personal-link,281,tcp
cableport-ax,282,tcp
rescap,283,tcp
corerjd,284,tcp
fxp,286,tcp
k-block,287,tcp
novastorbakcup,308,tcp
entrusttime,309,tcp
bhmds,310,tcp
asip-webadmin,311,tcp
vslmp,312,tcp
magenta-logic,313,tcp
opalis-robot,314,tcp
dpsi,315,tcp
decauth,316,tcp
zannet,317,tcp
pkix-timestamp,318,tcp
ptp-event,319,tcp
ptp-general,320,tcp
pip,321,tcp
rtsps,322,tcp
rpki-rtr,323,tcp
rpki-rtr-tls,324,tcp
texar,333,tcp
pdap,344,tcp
pawserv,345,tcp
zserv,346,tcp
fatserv,347,tcp
csi-sgwp,348,tcp
mftp,349,tcp
matip-type-a,350,tcp
matip-type-b,351,tcp
bhoetty,351,tcp
dtag-ste-sb,352,tcp
bhoedap4,352,tcp
ndsauth,353,tcp
bh611,354,tcp
datex-asn,355,tcp
cloanto-net-1,356,tcp
bhevent,357,tcp
shrinkwrap,358,tcp
nsrmp,359,tcp
scoi2odialog,360,tcp
semantix,361,tcp
srssend,362,tcp
rsvp-tunnel,363,tcp
rsvp_tunnel,363,tcp
aurora-cmgr,364,tcp
dtk,365,tcp
odmr,366,tcp
mortgageware,367,tcp
qbikgdp,368,tcp
rpc2portmap,369,tcp
codaauth2,370,tcp
clearcase,371,tcp
ulistproc,372,tcp
legent-1,373,tcp
legent-2,374,tcp
hassle,375,tcp
nip,376,tcp
tnETOS,377,tcp
dsETOS,378,tcp
is99c,379,tcp
is99s,380,tcp
hp-collector,381,tcp
hp-managed-node,382,tcp
hp-alarm-mgr,383,tcp
arns,384,tcp
ibm-app,385,tcp
asa,386,tcp
aurp,387,tcp
unidata-ldm,388,tcp
ldap,389,tcp
uis,390,tcp
synotics-relay,391,tcp
synotics-broker,392,tcp
meta5,393,tcp
embl-ndt,394,tcp
netware-ip,396,tcp
mptn,397,tcp
kryptolan,398,tcp
iso-tsap-c2,399,tcp
osb-sd,400,tcp
ups,401,tcp
genie,402,tcp
decap,403,tcp
nced,404,tcp
ncld,405,tcp
imsp,406,tcp
timbuktu,407,tcp
prm-sm,408,tcp
prm-nm,409,tcp
decladebug,410,tcp
rmt,411,tcp
synoptics-trap,412,tcp
smsp,413,tcp
infoseek,414,tcp
bnet,415,tcp
silverplatter,416,tcp
onmux,417,tcp
hyper-g,418,tcp
ariel1,419,tcp
smpte,420,tcp
ariel2,421,tcp
ariel3,422,tcp
opc-job-start,423,tcp
opc-job-track,424,tcp
icad-el,425,tcp
smartsdp,426,tcp
svrloc,427,tcp
ocs-cmu,428,tcp
ocs_cmu,428,tcp
ocs-amu,429,tcp
ocs_amu,429,tcp
utmpsd,430,tcp
utmpcd,431,tcp
iasd,432,tcp
nnsp,433,tcp
mobileip-agent,434,tcp
mobilip-mn,435,tcp
dna-cml,436,tcp
comscm,437,tcp
dsfgw,438,tcp
dasp,439,tcp
sgcp,440,tcp
decvms-sysmgt,441,tcp
cvc-hostd,442,tcp
cvc_hostd,442,tcp
https,443,tcp
snpp,444,tcp
microsoft-ds,445,tcp
ddm-rdb,446,tcp
ddm-dfm,447,tcp
ddm-ssl,448,tcp
as-servermap,449,tcp
tserver,450,tcp
sfs-smp-net,451,tcp
sfs-config,452,tcp
creativeserver,453,tcp
contentserver,454,tcp
creativepartnr,455,tcp
macon-tcp
scohelp,457,tcp
appleqtc,458,tcp
ampr-rcmd,459,tcp
skronk,460,tcp
datasurfsrv,461,tcp
datasurfsrvsec,462,tcp
alpes,463,tcp
kpasswd,464,tcp
urd,465,tcp
submissions,465,tcp
digital-vrc,466,tcp
mylex-mapd,467,tcp
photuris,468,tcp
rcp,469,tcp
scx-proxy,470,tcp
mondex,471,tcp
ljk-login,472,tcp
hybrid-pop,473,tcp
tn-tl-w1,474,tcp
tcpnethaspsrv,475,tcp
tn-tl-fd1,476,tcp
ss7ns,477,tcp
spsc,478,tcp
iafserver,479,tcp
iafdbase,480,tcp
ph,481,tcp
bgs-nsi,482,tcp
ulpnet,483,tcp
integra-sme,484,tcp
powerburst,485,tcp
avian,486,tcp
saft,487,tcp
gss-http,488,tcp
nest-protocol,489,tcp
micom-pfs,490,tcp
go-login,491,tcp
ticf-1,492,tcp
ticf-2,493,tcp
pov-ray,494,tcp
intecourier,495,tcp
pim-rp-disc,496,tcp
retrospect,497,tcp
siam,498,tcp
iso-ill,499,tcp
isakmp,500,tcp
stmf,501,tcp
mbap,502,tcp
intrinsa,503,tcp
citadel,504,tcp
mailbox-lm,505,tcp
ohimsrv,506,tcp
crs,507,tcp
xvttp,508,tcp
snare,509,tcp
fcp,510,tcp
passgo,511,tcp
exec,512,tcp
login,513,tcp
shell,514,tcp
printer,515,tcp
videotex,516,tcp
talk,517,tcp
ntalk,518,tcp,
utime,519,tcp
efs,520,tcp
ripng,521,tcp
ulp,522,tcp
ibm-db2,523,tcp
ncp,524,tcp
timed,525,tcp
tempo,526,tcp
stx,527,tcp
custix,528,tcp
irc-serv,529,tcp
courier,530,tcp
conference,531,tcp
netnews,532,tcp
netwall,533,tcp
windream,534,tcp
iiop,535,tcp
opalis-rdv,536,tcp
nmsp,537,tcp
gdomap,538,tcp
apertus-ldp,539,tcp
uucp,540,tcp
uucp-rlogin,541,tcp
commerce,542,tcp
klogin,543,tcp,
kshell,544,tcp
appleqtcsrvr,545,tcp
dhcpv6-client,546,tcp
dhcpv6-server,547,tcp
afpovertcp
idfp,549,tcp
new-rwho,550,tcp
cybercash,551,tcp
devshr-nts,552,tcp
pirp,553,tcp
rtsp,554,tcp
dsf,555,tcp,
remotefs,556,tcp
openvms-sysipc,557,tcp
sdnskmp,558,tcp
teedtap,559,tcp
rmonitor,560,tcp
monitor,561,tcp,
chshell,562,tcp
nntps,563,tcp
9pfs,564,tcp
whoami,565,tcp
streettalk,566,tcp
banyan-rpc,567,tcp
ms-shuttle,568,tcp
ms-rome,569,tcp
meter,570,tcp
meter,571,tcp
sonar,572,tcp
banyan-vip,573,tcp
ftp-agent,574,tcp
vemmi,575,tcp
ipcd,576,tcp
vnas,577,tcp
ipdd,578,tcp
decbsrv,579,tcp
sntp-heartbeat,580,tcp
bdp,581,tcp
scc-security,582,tcp
philips-vc,583,tcp
keyserver,584,tcp
,585,,De-registered
password-chg,586,tcp
submission,587,tcp
cal,588,tcp
eyelink,589,tcp
tns-cml,590,tcp
http-alt,591,tcp
eudora-set,592,tcp
http-rpc-epmap,593,tcp
tpip,594,tcp
cab-protocol,595,tcp
smsd,596,tcp
ptcnameservice,597,tcp
sco-websrvrmg3,598,tcp
acp,599,tcp
ipcserver,600,tcp
syslog-conn,601,tcp
xmlrpc-beep,602,tcp
idxp,603,tcp
tunnel,604,tcp
soap-beep,605,tcp
urm,606,tcp
nqs,607,tcp
sift-uft,608,tcp
npmp-trap,609,tcp
npmp-local,610,tcp
npmp-gui,611,tcp
hmmp-ind,612,tcp
hmmp-op,613,tcp
sshell,614,tcp
sco-inetmgr,615,tcp
sco-sysmgr,616,tcp
sco-dtmgr,617,tcp
dei-icda,618,tcp
compaq-evm,619,tcp
sco-websrvrmgr,620,tcp
escp-ip,621,tcp
collaborator,622,tcp
oob-ws-http,623,tcp
cryptoadmin,624,tcp
dec-dlm,625,tcp
dec_dlm,625,tcp
asia,626,tcp
passgo-tivoli,627,tcp
qmqp,628,tcp
3com-amp3,629,tcp
rda,630,tcp
ipp,631,tcp
ipps,631,tcp
bmpp,632,tcp
servstat,633,tcp
ginad,634,tcp
rlzdbase,635,tcp
ldaps,636,tcp
lanserver,637,tcp
mcns-sec,638,tcp
msdp,639,tcp
entrust-sps,640,tcp
repcmd,641,tcp
esro-emsdp,642,tcp
sanity,643,tcp
dwr,644,tcp
pssc,645,tcp
ldp,646,tcp
dhcp-failover,647,tcp
rrp,648,tcp
cadview-3d,649,tcp
obex,650,tcp
ieee-mms,651,tcp
hello-port,652,tcp
repscmd,653,tcp
aodv,654,tcp
tinc,655,tcp
spmp,656,tcp
rmc,657,tcp
tenfold,658,tcp
,659,,Removed
mac-srvr-admin,660,tcp
hap,661,tcp
pftp,662,tcp
purenoise,663,tcp
oob-ws-https,664,tcp
sun-dr,665,tcp
mdqs,666,tcp,
doom,666,tcp
disclose,667,tcp
mecomm,668,tcp
meregister,669,tcp
vacdsm-sws,670,tcp
vacdsm-app,671,tcp
vpps-qua,672,tcp
cimplex,673,tcp
acap,674,tcp
dctp,675,tcp
vpps-via,676,tcp
vpp,677,tcp
ggf-ncp,678,tcp
mrm,679,tcp
entrust-aaas,680,tcp
entrust-aams,681,tcp
xfr,682,tcp
corba-iiop,683,tcp
corba-iiop-ssl,684,tcp
mdc-portmapper,685,tcp
hcp-wismar,686,tcp
asipregistry,687,tcp
realm-rusd,688,tcp
nmap,689,tcp
vatp,690,tcp
msexch-routing,691,tcp
hyperwave-isp,692,tcp
connendp,693,tcp
ha-cluster,694,tcp
ieee-mms-ssl,695,tcp
rushd,696,tcp
uuidgen,697,tcp
olsr,698,tcp
accessnetwork,699,tcp
epp,700,tcp
lmp,701,tcp
iris-beep,702,tcp
elcsd,704,tcp
agentx,705,tcp
silc,706,tcp
borland-dsj,707,tcp
entrust-kmsh,709,tcp
entrust-ash,710,tcp
cisco-tdp,711,tcp
tbrpf,712,tcp
iris-xpc,713,tcp
iris-xpcs,714,tcp
iris-lwz,715,tcp
netviewdm1,729,tcp
netviewdm2,730,tcp
netviewdm3,731,tcp
netgw,741,tcp
netrcs,742,tcp
flexlm,744,tcp
fujitsu-dev,747,tcp
ris-cm,748,tcp
kerberos-adm,749,tcp
rfile,750,tcp,
pump,751,tcp,
qrh,752,tcp,
rrh,753,tcp,
tell,754,tcp
nlogin,758,tcp,
con,759,tcp,
ns,760,tcp,
rxe,761,tcp,
quotad,762,tcp,
cycleserv,763,tcp,
omserv,764,tcp,
webster,765,tcp,
phonebook,767,tcp
vid,769,tcp,
cadlock,770,tcp,
rtip,771,tcp,
cycleserv2,772,tcp,
submit,773,tcp,
rpasswd,774,tcp,
entomb,775,tcp,
wpages,776,tcp,
multiling-http,777,tcp
wpgs,780,tcp,
mdbs-daemon,800,tcp
mdbs_daemon,800,tcp,
device,801,tcp,
mbap-s,802,tcp
fcp-udp,810,tcp
itm-mcell-s,828,tcp
pkix-3-ca-ra,829,tcp
netconf-ssh,830,tcp
netconf-beep,831,tcp
netconfsoaphttp,832,tcp
netconfsoapbeep,833,tcp
dhcp-failover2,847,tcp
gdoi,848,tcp
domain-s,853,tcp
dlep,854,tcp
iscsi,860,tcp
owamp-control,861,tcp
twamp-control,862,tcp
rsync,873,tcp
iclcnet-locate,886,tcp
iclcnet-svinfo,887,tcp
iclcnet_svinfo,887,tcp
accessbuilder,888,tcp
cddbp,888,tcp
omginitialrefs,900,tcp
smpnameres,901,tcp
ideafarm-door,902,tcp
ideafarm-panic,903,tcp
kink,910,tcp
xact-backup,911,tcp
apex-mesh,912,tcp
apex-edge,913,tcp
rndc,953,tcp
ftps-data,989,tcp
ftps,990,tcp
nas,991,tcp
telnets,992,tcp
imaps,993,tcp
,994,tcp
pop3s,995,tcp
vsinet,996,tcp
maitrd,997,tcp,
busboy,998,tcp,
garcon,999,tcp,
puprouter,999,tcp,
cadlock2,1000,tcp,
webpush,1001,tcp
surf,1010,tcp
exp1,1021,tcp
exp2,1022,tcp
,1023,tcp
,1024,tcp
blackjack,1025,tcp
http,8000,tcp
http,8080,tcp
proxy,8081,tcp
https,8443,tcp
http,8888,tcp
http,8910,tcp
webmail http,8990,tcp
webmail https,8991,tcp
